"abandon",-1.81,-1.03,1.2
"abuse",-2.62,-1.96,1.13
"accuse",-1.88,-0.97,1.34
"address",1.52,1.26,-0.64
"admonish",2.58,2.09,-1.4
"advise",2.27,2.02,-1.47
"agree_with",1.68,0.88,-0.56
"aid",2.28,1.84,-1.02
"amuse",1.45,0.71,0.18
"analyze",1.62,1.11,-0.51
"answer",1.71,1.02,-0.92
"apologize_to",2.74,1.65,-1.57
"appeal_to",-0.79,-1.11,0.19
"applaud",0.84,0.09,-0.13
"apprehend",-1.15,-2.03,-0.86
"approach",1.06,0.89,-0.15
"argue_with",-1.44,-0.56,1.46
"arrest",0.52,1.38,1.47
"ask_about_something",1.5,1.06,-0.94
"ask_out",1.11,0.46,-0.28
"assault",-2.96,-0.84,2
"assist",2.81,1.97,-1.3
"attack",-2.11,-0.3,1.56
"babble_to",-1.29,-0.59,1.19
"banter_with",1.46,0.64,0.03
"baptize",-0.17,0.2,0.33
"bargain_with",0.18,-0.07,-0.01
"barter_with",-0.33,0.33,0.06
"bash",-2.67,0.18,2.18
"bawl_out",-0.61,-0.13,0.51
"be_intimate_with",1.75,1.09,-0.77
"be_sarcastic_toward",-1.71,-1.42,1.06
"beat_up",-2.64,-0.72,2.19
"beckon_to",0.07,-0.2,-0.39
"bed",0.22,0.51,-0.11
"beg",-1.17,-0.94,-0.58
"belittle",-2.17,-1.59,1.18
"bellow_at",-2.35,-1.24,1.91
"beseech",-0.98,-1.12,-0.05
"bill",0.35,0.23,-0.07
"bind",-1.22,0.18,0.85
"bite",-1.26,-0.3,1.44
"blabber_to",-0.51,-0.65,0.73
"blame",-1.4,-0.95,1.34
"bless",2.19,1.66,-1.2
"bootlick",-1.47,-1.37,0.5
"booze_with",-1.6,-1.22,1.1
"borrow_money_from",-0.03,-0.46,-0.33
"boss_around",-1,-0.27,0.82
"bow_to",-0.74,-0.84,-1.07
"bribe",-2.88,-2.51,0.91
"brief",0.66,0.57,-0.63
"browbeat",-2.23,-0.61,1.78
"brutalize",-2.8,-1.22,1.55
"care_for",2.27,1.04,-0.41
"caress",2.06,1.27,-0.68
"caution",1.7,1.23,0.18
"challenge",0.95,1.23,0.7
"chase",-1.4,0.41,1.33
"chastise",1.2,1.05,0.01
"chat_up",1.98,1.12,-0.67
"chat_with",1.24,0.89,-0.07
"chatter_to",-1.17,-1.17,1.67
"cheat",-2.3,-1.79,1.21
"cheat_on",-2.81,-1.71,1.1
"cheer",3.06,2.06,-0.94
"cheer_up",3,1.85,-0.74
"choke",-2.52,0.01,1.51
"cling_to",1.32,1.03,-0.53
"club",-2.05,-0.48,1.61
"collaborate_with",3.03,2.3,-1.26
"combat",-1.27,0.47,1.98
"comfort",2.85,1.98,-1.53
"command",-0.92,0.68,1.12
"compensate",1.38,0.89,-0.58
"compete_with",1.68,1.55,0.57
"complain_to",0.43,-0.94,-0.06
"compliment",1.27,1.17,-0.62
"compromise_with",1.83,1.28,-0.93
"concur_with",2.21,1.07,-0.9
"condemn",-0.21,0.23,-0.22
"confess_to",1.7,1.17,-0.85
"confide_in",1.36,0.37,-1.14
"confine",-1.15,-0.3,1.06
"congratulate",2.15,1.13,-0.75
"conspire_with",-1.82,-0.86,1.16
"consult_with",2.35,1.78,-0.74
"contemplate",2.06,1.26,-0.53
"contradict",-0.24,0.04,0.87
"converse_with",1.24,0.79,-0.47
"convict",-1.81,-0.58,0.96
"correct",1.84,1.26,-1.05
"counsel",1.85,1.03,-0.67
"criticize",0.1,0.72,0.81
"curry_favor_from",1.53,0.27,-1
"curse",-2.71,-1.72,1.98
"cut_the_pay_of",-2.07,-1.01,1.21
"dance_with",1.46,0.63,0.29
"defeat",0.61,0.93,0.96
"defend",2.56,2.45,-0.24
"defer_to",-1.31,-0.58,0.07
"defy",1.34,1.24,0.35
"demean",-2.36,-1.69,1.06
"denigrate",-2.61,-2.48,1.28
"denounce",-1.78,-1.23,1.34
"deny_something_to",-1.86,-0.96,0.88
"deprecate",-1.92,-1.32,1.39
"desire_sexually",-1.14,-0.61,0.42
"dicker_with",-1.72,-1.32,0.8
"direct",1.8,1.43,-1.13
"disagree_with",0.18,0.04,0.14
"discipline",-0.67,-0.12,1.21
"discourage",-0.58,-0.55,0.16
"discuss_something_with",1.81,1.17,-0.76
"disobey",-1.72,-0.39,1.26
"disparage",-1.88,-1.41,0.61
"distract",-1.95,-1.38,0.71
"divorce",-1.12,-0.72,1.12
"dote_on",0.82,0.74,-0.42
"draw_near_to",1.45,1.23,-0.73
"dress",0.3,0.3,-0.55
"drone_on_at",-1.9,-1.1,-0.48
"eat_with",1.43,0.89,-0.71
"elbow",-1.32,0.09,0.87
"employ",1.76,1.54,-0.46
"encourage",2.75,2.13,0.4
"entertain",1.76,1.19,-0.19
"escape",1.59,1.28,0.35
"examine",0.56,0.3,-0.2
"excuse",1.33,0.61,-0.7
"exonerate",1.1,1.23,-0.6
"explain_something_to",2.36,1.64,-1.15
"exploit",-2.24,-1.79,1.07
"extol",0.26,0.5,-0.01
"eye",-0.19,0.04,-0.26
"face",1.49,1.64,0.35
"feed_something_to",2.35,1.42,-1.11
"financially_back",2.32,1.92,-1.02
"fine",0.14,-0.25,0.16
"fire_from_a_job",-2.21,-0.6,1.77
"flatter",-0.79,-0.62,0
"flee",-0.8,-0.02,0.48
"flirt_with",0.16,0.16,0.05
"flunk",-1.67,-1.31,0.55
"follow",-0.8,-1.36,0.41
"forget",-0.94,-0.28,-0.29
"forgive",2.57,1.59,-1.51
"fornicate_with",-1.75,-1.42,1.24
"frown_at",-2.18,-1.06,1.02
"gape_at",-1.45,-1.68,-0.18
"gawk_at",-1.4,-1,-0.32
"gaze_at",-1.01,-0.55,0.1
"giggle_at",-1.09,-0.75,0.44
"giggle_with",0.4,0,0.66
"give_instructions_to",1.04,1.16,-0.11
"give_medical_treatment_to",1.75,1.47,-1.29
"give_raise_to",1.64,0.97,-0.28
"glance_at",0.26,-0.16,0.45
"glare_at",-1.3,-0.47,1.06
"glorify",0.56,0.45,-0.35
"gossip_with",-1.22,-1,0.82
"grade",0.33,0.78,-0.45
"greet",2.44,1.46,-0.91
"grin_at",1.86,1.49,-1.21
"groom",1.67,0.5,-0.45
"guide",2.13,1.37,-1.2
"gyp",-2.21,-1.31,1.4
"halt",-0.07,0.53,0.12
"hand_something_to",1.1,0.69,-0.63
"handcuff",-1.5,-0.12,0.79
"harm",-2.52,-0.55,1.48
"have_sex_with",-0.56,-0.32,1.12
"heal",2.54,1.78,-0.71
"heckle",-1.65,-0.43,1.11
"hire",0.77,0.45,-0.55
"hold",0.52,0.33,0.23
"horse_around_with",-0.47,-0.34,1.01
"hug",1.8,0.85,-0.45
"hurry",-0.49,0.05,1.23
"hurt",-2.68,-1.44,1.76
"ignore",-1.66,-0.99,0.03
"imitate",-0.55,-0.83,0.43
"incarcerate",-2.08,-0.12,1.46
"incriminate",-1.63,-1.16,0.98
"indoctrinate",0.4,0.53,-0.08
"inform",0.84,0.24,-0.13
"inject_with_medicine",0.5,0.78,-0.11
"injure",-2.42,-1.26,1.2
"inspect",-0.33,-0.34,0.08
"insult",-2.91,-1.85,2
"interrogate",0.63,0.98,-0.14
"interrupt",-2.09,-1.09,1.62
"interview",1.99,1.2,-0.7
"jail",-1.77,-0.02,1.5
"jeer",-2.59,-1.04,1.6
"joggle",1.37,0.58,-0.96
"join_up_with",1.38,0.72,-0.89
"joke_with",1.2,0.77,0.43
"josh",1.75,1.03,-0.35
"kick",-2.3,-0.47,1.55
"kill",-2.25,-0.51,2.23
"kiss",1.25,1.05,-0.63
"knife",-2.47,-0.65,1.81
"knock_out",-2.34,0.01,2.08
"laud",0.31,-0.26,0.02
"laugh_at",-1.61,-0.76,1.02
"laugh_with",1.78,0.97,-0.15
"lay_off_from_a_job",-1.22,-0.27,0.92
"lead",1.12,0.76,-0.53
"leave",-1.04,-0.65,0.61
"lecture",1.4,0.94,-0.37
"leer_at",-1.09,-0.92,0.57
"lend_money_to",1.4,1.13,-0.54
"lie_to",-2.27,-1.89,1.24
"listen_to",1.89,0.93,-0.99
"look_at",0.52,0.55,-0.36
"look_away_from",-0.61,-0.52,0.22
"lunch_with",2.1,1.48,-0.83
"lust_for",-0.24,-0.45,0.46
"make_business_proposal_to",1.86,1.49,-0.66
"make_fun_of",-2.13,-1.97,1.41
"make_love_to",-0.18,0.28,0.94
"make_up_with",2.56,1.54,-1.4
"malign",-2.45,-2.25,0.87
"marry",1.85,1.22,-0.91
"massage",1.14,0.99,-1.07
"medicate",1.99,0.82,-0.92
"mimic",-0.8,-0.97,0.58
"molest",-2.16,-0.81,1.19
"monitor",-1.4,-0.92,0.37
"mother",2.77,1.83,-1.22
"mouth_off_to",-0.62,-0.14,1.08
"mug",-2.3,-0.64,1.21
"mumble_to",-0.87,-0.63,-0.3
"murder",-3.28,-1.25,1.41
"nag",-2.07,-1.35,1.4
"neglect",-2.16,-2.01,0.7
"negotiate_with",1.03,1.16,-0.36
"nestle",1.98,1.07,-1.05
"nudge",-0.84,-0.42,0.35
"obey",1.17,-0.02,-1.23
"observe",0.73,0.06,-0.05
"obstruct",-2.24,-0.69,1.63
"oppose",0.01,0.62,0.94
"order",-0.79,0.19,1.16
"overcharge",-1.59,-0.45,0.72
"overpower",0.59,0.97,0.43
"overwork",-1.54,-0.87,0.78
"pamper",0.94,0.24,-0.47
"pay_for",0.84,0.64,-0.43
"pay_for_something",0.89,0.68,-0.03
"peek_at",-1.67,-1.17,-0.36
"peep_at",-1.96,-1.51,0.52
"pester",-2.28,-1.61,1.73
"photograph",1.55,1.24,-0.56
"pinch",-1.19,-0.23,0.75
"place_order_with",0.85,0.99,0.14
"play_with",1.77,0.97,0
"point_at",-0.54,-0.72,0.55
"praise",0.2,0.13,-0.49
"promise_something",0.15,0.31,0.34
"prompt",0.64,0.38,0.12
"propose_marriage_to",2.4,2.01,-0.02
"prosecute",0.14,0.35,0.09
"protect",2.42,1.92,-0.32
"pull_away_from",-0.49,-0.42,-0.17
"punch",-1.19,0.38,1.8
"pursue",-0.97,-0.35,0.87
"push",-0.62,0.45,0.9
"put_to_bed",1.2,1.25,-0.57
"query",1.19,0.57,-0.89
"quiz",1.07,1.23,-0.72
"raise_the_pay_of",1.77,1.54,-0.58
"rant_at",-1.54,-1.26,1.18
"rape",-2.85,-1.75,1.73
"ravish",-2.1,-1.85,1.47
"reason_with",1.33,1.19,-0.74
"reassure",2.29,1.5,-1.72
"rebuff",-1.35,-0.34,0.64
"reform",1.7,1.37,-1.03
"rehabilitate",1.88,1.71,-0.4
"remind",1.36,0.84,-0.49
"reply_to",1.12,1.08,-0.15
"reprimand",-1.62,0.02,1.29
"request_something_from",0.58,0.7,-0.64
"rescue",2.16,2.19,-0.54
"restrain",-0.7,0.16,0.26
"retaliate_against",-0.91,-0.67,0.91
"reward",2.21,1.7,-0.77
"rib",-1.65,-0.82,1.3
"ridicule",-2.62,-1.57,1.39
"rob",-2.26,-0.31,1.44
"rouse",0.72,0.28,0.35
"salute",2.03,1.01,-1.19
"save",1.93,1.73,0.78
"say_farewell_to",-0.27,0.34,-0.3
"scowl_at",-2.4,-0.81,1.27
"scratch",-1.85,-0.61,1.45
"scream_at",-2.07,-1.08,1.52
"search",-1.6,-0.36,0.71
"seduce",-0.65,0.29,0.26
"seize",-0.4,0.33,0.91
"sell_something_to",0.81,0.45,0.38
"sentence",-1.1,-0.33,1.09
"serenade",1.62,0.73,-0.86
"serve",2.05,1.62,-0.48
"sexually_arouse",-1.18,-1.15,0.79
"sexually_proposition",-1.39,-1.2,1.16
"shake_hands_with",1.72,1.25,-0.88
"share_something_with",0.98,0.7,-0.33
"shoot",-2.34,-0.32,1.49
"shout_at",-1.74,-0.55,1.43
"show_something_to",1.46,0.56,-0.66
"silence",-0.57,0.07,1.01
"sing_to",1.8,0.63,-0.81
"sit_next_to",1.07,0.53,-1.21
"slap",-1.86,-0.58,2.36
"slug",-1.97,0.31,2.23
"smile_at",2.76,1.9,-0.93
"smirk_at",1.51,0.68,-0.63
"snarl_at",-1.04,0.03,1.24
"snuggle",0.42,0.2,-1.42
"sock",-2.4,-0.67,2.12
"soothe",1.5,1.13,-1.23
"sound_out",1.64,0.95,-1.02
"spank",-1.39,-0.85,1.47
"squeeze",-1.12,-0.45,1.09
"stab",-2.58,-1.44,1.72
"stammer_at",-1.83,-1.56,0.09
"stare_at",-1.2,-0.45,0.42
"stare_down",-0.58,-0.61,0.17
"steal_from",-2.33,-1.48,1.16
"stop",-0.36,0.38,0.12
"strangle",-2.65,-0.53,1.19
"strip",-1.57,-0.65,1.19
"stroke",1.17,0.25,-0.88
"subdue",-2.11,-1.24,1.26
"submit_to",-1.24,-1.72,-0.51
"suck_up_to",-2.27,-1.36,0.05
"sue",0.4,0.9,0.34
"suggest_something_to",1.78,1.18,-0.41
"surprise",1.36,0.96,0.27
"sympathize_with",1.93,1.39,-1.23
"tackle",-0.39,0.59,1.54
"talk_shop_with",1.46,0.72,-0.61
"talk_to",1.65,0.98,-0.69
"thank",2.37,1.55,-0.8
"threaten",-2.08,-0.53,1.63
"tickle",0.65,0.28,0.96
"toady_to",-1.45,-1.02,0.38
"torment",-2.33,-0.87,1.78
"torture",-2.55,-1.05,2.16
"touch",-0.76,-0.44,0.26
"train",1.57,1.67,-0.32
"transact_business_with",1.22,0.87,-0.61
"treat",2.03,1.06,-0.74
"tug",-0.96,0.28,1.19
"turn_to",1.71,0.37,-1.08
"underpay",-1.82,-1.36,1.05
"undress",-2.02,-0.93,1.31
"warn",1.51,1.12,-0.18
"wash",1.9,1.19,-0.51
"watch",0.3,-0.06,-0.32
"welcome",2.42,1.49,-0.7
"whip",-2.08,-0.38,1.88
"whisper_to",-0.38,-0.89,-0.72
"wink_at",0.29,0.3,-0.02
"work",-1.09,-0.41,0.43
"wrestle_with",-1.68,0.02,1.61
"yield_to",-0.77,-0.61,0.28
